cash_and_equivalents,account_receivables_third_party,account_receivables_related_party,total_current_assets,fixed_assets,total_non_current_assets,total_assets,total_current_liabilities,total_non_current_liabilities,total_equity,ticker_code,year
262292.0,71302.0,476236.0,4245730.0,10152225.0,20689696.0,24935426,2309417.0,4089571.0,18536438,AALI,2017
47561973397.0,78924760998.0,3741201806.0,148023583560.0,40083739716.0,280202413496.0,428225997056,122425613582.0,187037376113.0,118763007361,ABBA,2017
505500828.0,,,,93794209.0,,2966605878,,,1375352652,ABDA,2017
140690492.0,113422797.0,26088605.0,339479131.0,602810653.0,703194675.0,1042673806,212589704.0,667761077.0,162323025,ABMM,2017
902227973886.0,42700492063.0,47136653365.0,3358272302312.0,359229296682.0,1070568248167.0,4428840550479,478208556747.0,440210145942.0,3510421847790,ACES,2017
215119.0,306342.0,3276.0,,486798.0,,5306479,,,1437127,ACST,2017
25507.0,140594.0,,294244.0,478184.0,545992.0,840236,244888.0,172337.0,423011,ADES,2017
4131173781445.0,826325518931.0,2096482385511.0,24817671201079.0,1520930722412.0,3515276811871.0,28332948012950,17633289239294.0,4829741347659.0,5869917425997,ADHI,2017
220471.0,,,,208426.0,,29492933,,,5745415,ADMF,2017
27434955.0,26053491.0,15218383.0,149564786.0,219511077.0,224545517.0,374110303,69487329.0,65031095.0,239591879,ADMG,2017
1206848.0,314581.0,137.0,1979162.0,1506553.0,4834985.0,6814147,773302.0,1949218.0,4091627,ADRO,2017
344351.0,307738.0,104541.0,1526964.0,4671372.0,4876579.0,6403543,1014745.0,2030788.0,3358010,AGII,2017
,,,,264127377.0,,16325247007,,,3111284877,AGRO,2017
,,,,28308.0,,3892516,,,564154,AGRS,2017
69097069379.0,,,,28969276539.0,,419786852337,,,200543863001,AHAP,2017
43138538.0,,,15100638538.0,,0.0,15100638538,127732121.0,0.0,14972906417,AIMS,2017
181613.0,2114677.0,588236.0,4536882.0,3178987.0,4187852.0,8724734,3902708.0,1417147.0,3404879,AISA,2017
45403333.0,434959458.0,35049.0,1003030428.0,1588222494.0,1742295405.0,2745325833,961284302.0,657429040.0,1126612491,AKPI,2017
