operating_cash_flow,investing_cash_flow,fixed_asset_expenditure,financing_cash_flow,cash_and_equivalents_beginning,fx_rate_effect_on_cash,cash_and_equivalents_changes,cash_and_equivalents_ending,ticker_code,year
2045235.0,939268.0,-1678767.0,-609332.0,262292,29654.0,,49082.0,AALI,2018
-21882238133.0,2175271897.0,-2211768602.0,12685815932.0,47561973397,,,36153782594.0,ABBA,2018
-115023314.0,8424822.0,376441522.0,-55872601.0,505500828,,,711046435.0,ABDA,2018
135839564.0,31227121.0,-47198560.0,-83346744.0,140690492,-1932068.0,,144052684.0,ABMM,2018
280549714304.0,162382687394.0,-183916897980.0,-198587523725.0,902227973886,-1751121909.0,,798522144576.0,ACES,2018
-857235.0,271043.0,-258052.0,1123060.0,215119,-238.0,,222654.0,ACST,2018
146588.0,37687.0,-39459.0,-30363.0,25507,,,102273.0,ADES,2018
70902349062.0,147616264833.0,-936798793672.0,-2240709597.0,4131173781445,,,3263036627238.0,ADHI,2018
-656053.0,103992.0,-145468.0,269127.0,2221718,,,1689324.0,ADMF,2018
1503016.0,1789306.0,-8036183.0,-6500000.0,27434955,-310876.0,,14090912.0,ADMG,2018
905910.0,342792.0,-793156.0,-378401.0,1206848,-13305.0,,927896.0,ADRO,2018
311207.0,284962.0,-630319.0,259233.0,344351,,,284472.0,AGII,2018
2693653315.0,,-373840147.0,1169661139.0,2266637512,,,5756111819.0,AGRO,2018
121168.0,,-20473.0,,600410,,,701105.0,AGRS,2018
-43262981770.0,47230000.0,-45489522663.0,97000000000.0,69097069379,,,77344564946.0,AHAP,2018
-649341697.0,,,609909626.0,43138538,,,3706467.0,AIMS,2018
-16883236.0,80800117.0,-9822610.0,18556921.0,45403333,4570876.0,,41825284.0,AKPI,2018
-448864030.0,1213363638.0,385813753.0,350753571.0,1771229012,112151230.0,,2171083536.0,AKRA,2018
-73669153775.0,3062924184.0,-3062924184.0,101535306857.0,25311060218,,,50114289116.0,AKSI,2018
17370720460.0,11114139380.0,-9721866652.0,-4725125158.0,9115361639,50807558.0,,12089897847.0,ALDO,2018
71626222.0,905726.0,-452505.0,-533881.0,20746931,290725.0,-2727397.0,88950095.0,ALKA,2018
-444151604001.0,31743145693.0,-11792660807.0,471568493419.0,51808282103,3567842279.0,,71000352993.0,ALMI,2018
7723486943.0,24342189413.0,-20118803033.0,10692453422.0,5547508722,,,3844646054.0,ALTO,2018
7822108.0,2248832.0,213863279.0,0.0,239356585,5253345.0,,466295317.0,AMAG,2018
216818.0,1914669.0,-1911492.0,1637324.0,346195,7783.0,,296628.0,AMFG,2018
13472771574.0,14224328217.0,-14071728217.0,192258839.0,6734140032,-568316002.0,48712585.0,5807838811.0,AMIN,2018
5956645.0,695751.0,-1886495.0,-2932622.0,932901,,,2070429.0,AMRT,2018
15885094938.0,5915951221.0,-5915951221.0,28226702081.0,236469428,,,38432315226.0,ANDI,2018
-6385296.0,29191934.0,-70415243.0,59629762.0,46404941,,,29234164.0,ANJT,2018
1874578431.0,2137853867.0,-2593809364.0,-619759898.0,5550677020,87381896.0,,4299068085.0,ANTM,2018
10886178.0,4802003.0,-5420930.0,-2720019.0,10029740,,,12774969.0,APEX,2018
-121698212241.0,16112066186.0,-124580446945.0,247779268789.0,141598952929,,,143099562532.0,APIC,2018
27583121972.0,5244353253.0,-8544353253.0,-14275489472.0,4967030481,,,9730309728.0,APII,2018
1429851349.0,14039726680.0,-52451176686.0,106227240339.0,5634250207,132084868.0,,60972250077.0,APLI,2018
-932169634.0,601259647.0,-1023888619.0,493796839.0,2297047219,11193230.0,,845979035.0,APLN,2018
44817209444.0,22171481599.0,62177873093.0,-115884292413.0,89481833812,4866327762.0,,85458951698.0,APOL,2018
-1751349.0,192801.0,1445406.0,-127603.0,792214,-23109.0,,335559.0,ARGO,2018
14168.0,11427.0,-24982.0,7902.0,4462,,,1550.0,ARII,2018
-208942337191.0,893148955.0,189541693467.0,-15865204506.0,141430466678,,,106164618448.0,ARMY,2018
356764910588.0,80884971616.0,-88869408356.0,-134613286540.0,59531055920,,,192813271612.0,ARNA,2018
24013241213.0,10508738789.0,-39159017401.0,,62549014931,9232203.0,,47412470946.0,ARTA,2018
-86018942530.0,,141599816856.0,,70312806409,,,125893680735.0,ARTO,2018
12988542.0,4374370.0,-6471073.0,-4471892.0,21799624,130653.0,,23975854.0,ASBI,2018
24928015.0,2990302.0,-11843480.0,-13248000.0,13801726,2109107.0,,15747368.0,ASDM,2018
-244298.0,22556.0,-40800.0,-118121.0,676587,314.0,,273682.0,ASGR,2018
27692.0,12480.0,-29731.0,-4873.0,31574,279.0,,24941.0,ASII,2018
-6856864231.0,,15346900982.0,-11334000000.0,14519676151,,,11675712902.0,ASJT,2018
-15189940303.0,300300771.0,17980182008.0,,3063169002,,,5853410707.0,ASMI,2018
1369684549.0,149111236.0,-696771358.0,-938772517.0,718086444,6782092.0,,459009210.0,ASRI,2018
2992540677.0,5791400067.0,9485337288.0,-23828395757.0,58834584316,98323272.0,,47582389796.0,ASRM,2018
122913984853.0,113517653284.0,-113241977576.0,133240890609.0,84903045576,-240247657.0,,227575695805.0,ASSA,2018
-185286593941.0,66414018588.0,-132517709595.0,591777442042.0,331303191362,-4082724384.0,14219290.0,601207824774.0,ATIC,2018
-19759659.0,10950.0,4539274.0,14803760.0,891850,,,475225.0,ATPK,2018
678469.0,350583.0,-212611.0,-216949.0,679916,-40534.0,,888291.0,AUTO,2018
-17181.0,,83129.0,134358.0,1499507,-4239.0,,1695574.0,BABP,2018
1644054.0,,-261731.0,3063.0,4682885,,,6068271.0,BACA,2018
10125713239.0,13680622542.0,-25640026234.0,13675617215.0,12100305546,49435975.0,,10311045741.0,BAJA,2018
152137760417.0,466252256034.0,-405306658367.0,232136766760.0,39465299921,-70125729.0,,18363043002.0,BALI,2018
3924952820.0,407476808.0,-106476808.0,-5432905189.0,2893180312,,,1278751135.0,BAPA,2018
40450899.0,49796117.0,-40062944.0,-2090850.0,6391491,,,4688596.0,BATA,2018
28926514700.0,9731235855.0,-196244040.0,,300673281210,2066607626.0,,331470159496.0,BAYU,2018
4912562.0,,20627654.0,-7297649.0,83377439,1691554.0,,103311560.0,BBCA,2018
20572426961.0,,-4336201868.0,17829374000.0,334823302094,,,368888901187.0,BBHI,2018
-6167780.0,,2629124.0,270151.0,15213534,15307.0,,11960336.0,BBKP,2018
-468309.0,26071.0,-23286.0,562586.0,120381,-1621.0,,189751.0,BBLD,2018
-214393394605.0,,478191309751.0,-60015447900.0,1044592271202,0.0,0.0,1248374738448.0,BBMD,2018
-4274095.0,,-9611702.0,20609112.0,91977278,221439.0,,98922032.0,BBNI,2018
1534728.0,,2157963.0,-2272461.0,2140746,49267.0,,3610243.0,BBRM,2018
-2410430.0,,1689493.0,6598304.0,38837639,,,44715006.0,BBTN,2018
-363571644121.0,,-5455658098.0,60379005299.0,671929305122,,,363281008202.0,BBYB,2018
89810.0,50945.0,494878.0,-440143.0,1780674,485.0,,1925704.0,BCAP,2018
1234739.0,,-1436481.0,143533.0,1847145,24528.0,,1813464.0,BCIC,2018
4445372.0,,3386812.0,-4382163.0,15834242,88841.0,-344124.0,19028980.0,BDMN,2018
54240319399.0,18881819978.0,-120483658711.0,63285686407.0,6031529631,,,3073876726.0,BEEF,2018
879000.0,,-34675.0,,1217606,,,2061931.0,BEKS,2018
49583922599.0,51826763282.0,-52111931892.0,3204149932.0,44619482919,,,45295623558.0,BELL,2018
711924605563.0,17640057009.0,-264426737976.0,178893844358.0,502176284260,,,1128567996205.0,BEST,2018
-366661.0,158519.0,-158350.0,1055055.0,225203,,,755247.0,BFIN,2018
-33849.0,,82090.0,,951224,,,999465.0,BGTG,2018
