revenues,cost_of_goods_sold,gross_income,sales_expenses,sales_and_admin_expenses,depreciation_expenses,pretax_income,tax_expenses,after_tax_income_operational,after_tax_income_nonoperational,after_tax_income,comprehensive_income,income_per_share,ticker_code,year
17305688.0,13160438.0,4145250.0,337933.0,756418.0,2938505.0,-824876.0,2113629,,2113629,2064015,1044.5,,AALI,2017
267932542391.0,134122652236.0,133809890155.0,7253292651.0,135503850796.0,-32608411780.0,-4391220685.0,-36999632465,,-36999632465,-12307881645,-10.08,,ABBA,2017
,,,,256836736.0,165019709.0,-4197568.0,160822141,,160822141,199028319,259.0,,ABDA,2017
690732993.0,539337965.0,151395028.0,7548138.0,68512466.0,11892729.0,-8093967.0,3798762,,3798762,2945255,0.00202,,ABMM,2017
5938576225065.0,3103860086251.0,2834716138814.0,1401350034406.0,564081902282.0,959980347383.0,-179293532722.0,780686814661,,780686814661,741795436411,45.62,,ACES,2017
3026989.0,,,,,156775.0,-2984.0,153791,,153791,149702,220.0,,ACST,2017
814490.0,375546.0,438944.0,289213.0,82415.0,51095.0,-12853.0,38242,,38242,38623,65.0,,ADES,2017
15156178074776.0,13098371731392.0,2057806343384.0,27077479789.0,553999254807.0,957281629758.0,-440221781551.0,517059848207,,517059848207,524579489861,144.75,,ADHI,2017
,,,0.0,1043873.0,2121962.0,-712812.0,1409150,,1409150,1266466,1409.0,,ADMF,2017
355097424.0,349094534.0,6002890.0,1609023.0,6825202.0,-11751064.0,3113199.0,-8637865,,-8637865,-5866626,-0.0021,,ADMG,2017
3258333.0,2116831.0,1141502.0,37504.0,146147.0,929531.0,-393093.0,536438,,536438,518131,0.02,,ADRO,2017
1838417.0,996821.0,841596.0,246443.0,218541.0,133820.0,-36222.0,97598,,97598,594670,27.0,,AGII,2017
,,,,71199339.0,193632796.0,-53137261.0,140495535,,140495535,180845914,8.49,,AGRO,2017
,,,,57060.0,-7320.0,-999.0,-8319,,-8319,-8352,-1.58,,AGRS,2017
,,,,65465215587.0,-39427633130.0,-1994037000.0,-41421670130,,-41421670130,-41244351622,-49.31,,AHAP,2017
2617767650.0,2477499950.0,140267700.0,853645050.0,576878021.0,-1587691692.0,-26126427.0,-1613818119,,-1613818119,-1639834869,-7.34,,AIMS,2017
4920632.0,4294396.0,626236.0,584946.0,331800.0,-967484.0,120675.0,-846809,,-846809,-859521,-171.47,,AISA,2017
2064857643.0,1866026156.0,198831487.0,59328526.0,53674808.0,31813498.0,-18479528.0,13333970,,13333970,13924298,22.0,,AKPI,2017
18287935534.0,16420654086.0,1867281448.0,664801549.0,89754326.0,1126408644.0,-125094198.0,1001314446,303286074.0,1304600520,1340604171,226.18,,AKRA,2017
140739483067.0,,,,,22213542523.0,-9097850104.0,13115692419,1638663957.0,14754356376,14876627270,20.66,229072313.0,AKSI,2017
708740551637.0,588935699382.0,119804852255.0,23628183141.0,46492742870.0,38621790950.0,-9586395553.0,29035395397,,29035395397,28234922754,23.95,,ALDO,2017
1932783905.0,1888767962.0,44015943.0,3361277.0,22878768.0,16063389.0,-657133.0,15406256,,15406256,12837812,30.38,,ALKA,2017
3484905171484.0,3351275672816.0,133629498668.0,35372526007.0,54381043759.0,4716551594.0,3729904090.0,8446455684,,8446455684,-24823789672,13.71,,ALMI,2017
262143990839.0,220973146395.0,41170844444.0,23941275960.0,51227133346.0,-69728704187.0,6879122522.0,-62849581665,,-62849581665,-62847159361,-28.5,,ALTO,2017
,,,,224093055.0,135713877.0,-12523967.0,123189910,,123189910,130263321,24.63,,AMAG,2017
3885791.0,3298157.0,587634.0,383080.0,75247.0,63589.0,-25020.0,38569,,38569,-15667,89.0,,AMFG,2017
246403880622.0,165625372516.0,80778508106.0,4977312495.0,15784063015.0,51284231355.0,-12201358340.0,39082873015,,39082873015,39412260699,36.19,,AMIN,2017
61464903.0,49463586.0,12001317.0,10347220.0,1207704.0,381342.0,-123607.0,257735,,257735,115498,7.23,,AMRT,2017
161797280.0,111650408.0,50146872.0,10123939.0,31260245.0,73160350.0,-25760825.0,47399525,,47399525,41694831,0.014137995,,ANJT,2017
12653619205.0,11009726759.0,1643892446.0,248917078.0,794369050.0,454396524.0,-317893255.0,136503269,,136503269,81607944,5.68,,ANTM,2017
74475065.0,61533274.0,12941791.0,,12480368.0,-107325657.0,4802788.0,-102522869,,-102522869,-102629729,-0.0385,,APEX,2017
255119235664.0,,,,,130539713075.0,-5694508383.0,124845204692,,124845204692,124202953579,10.19,3760881519.0,APIC,2017
168065942352.0,66441119482.0,101624822870.0,30222444243.0,36646482231.0,19161807863.0,-5239815182.0,13921992681,,13921992681,11366054267,13.0,,APII,2017
382238397027.0,327121759711.0,55116637316.0,15480287226.0,35442372955.0,17594222781.0,-5227037284.0,12367185497,,12367185497,12664622062,9.1,,APLI,2017
7043036602.0,3620910976.0,3422125626.0,252951214.0,1130489822.0,2181757138.0,-299175738.0,1882581400,0.0,1882581400,1871892833,71.0,,APLN,2017
466981642650.0,,,,,-253012831887.0,-4832754307.0,-257845586194,-3946094717.0,-261791680911,-271811273848,-30.0,89803937948.0,APOL,2017
33318959.0,35266976.0,-1948017.0,1488445.0,2242263.0,-15393626.0,521779.0,-14871847,,-14871847,-15304821,-0.04,,ARGO,2017
28731.0,29100.0,-369.0,,5463.0,-7136.0,-9581.0,-16717,,-16717,-16502,0.00517,,ARII,2017
178904717453.0,133239895994.0,45664821459.0,4411569650.0,13555118688.0,34029251341.0,-4472617936.0,29556633405,,29556633405,29552078551,3.97,,ARMY,2017
1732985361870.0,1328188268126.0,404797093744.0,166016838507.0,55577976150.0,166203941034.0,-44020031391.0,122183909643,,122183909643,118231212160,16.46,,ARNA,2017
88286723081.0,27609993504.0,60676729577.0,644025839.0,50910499291.0,14858069326.0,-3262157819.0,11595911507,,11595911507,11764751636,14.0,,ARTA,2017
,,,,103672748.0,13929913.0,-418515.0,13511398,,13511398,98458674,39.0,,ASBI,2017
,,,,109190948.0,47712669.0,-7434819.0,40277850,,40277850,36403858,210.0,,ASDM,2017
3918428.0,3122497.0,795931.0,203618.0,248130.0,349439.0,-92214.0,257225,,257225,254684,190.68,,ASGR,2017
206057.0,163689.0,42368.0,10222.0,11820.0,29196.0,-6031.0,23165,,23165,22636,466.0,,ASII,2017
,,,,62900863180.0,26630119146.0,-3958429952.0,22671689194,,22671689194,25305491390,38.0,,ASJT,2017
,,,,84837432533.0,52663921606.0,79890156.0,52743811762,,52743811762,61141112373,7.0,,ASMI,2017
3917107098.0,1541083916.0,2376023182.0,93508181.0,296983699.0,1444664431.0,-59475254.0,1385189177,,1385189177,1377949750,70.23,,ASRI,2017
,,,,251951695462.0,73843996987.0,-12920521178.0,60923475809,,60923475809,60408579794,284.0,,ASRM,2017
1689846194031.0,1173003959557.0,516842234474.0,7289845896.0,213651583776.0,138197075844.0,-34888681331.0,103308394513,,103308394513,105963128163,30.37,,ASSA,2017
4593876093254.0,3864700716713.0,729175376541.0,22797016067.0,507324025013.0,114440768495.0,-36364690148.0,78076078347,1013261444.0,79089339791,77264857837,18.42,,ATIC,2017
16707474.0,111850554.0,-95143080.0,,40756454.0,-311025124.0,1895259.0,-309129865,,-309129865,-313724832,-54.46,,ATPK,2017
13549857.0,11793778.0,1756079.0,675593.0,734035.0,711936.0,-164155.0,547781,,547781,452879,114.0,,AUTO,2017
,,,,253088.0,-906070.0,220877.0,-685193,,-685193,-675859,-33.19,,BABP,2017
,,,,79282.0,114738.0,-28598.0,86140,,86140,93189,12.24,,BACA,2017
1218317826843.0,1209851123279.0,8466703564.0,4325553259.0,12687550816.0,-28628554806.0,5643793055.0,-22984761751,,-22984761751,-24486490201,-12.77,,BAJA,2017
320065951849.0,119308356466.0,200757595383.0,,42521207792.0,52610484360.0,8916509178.0,61526993538,,61526993538,436200476078,16.93,,BALI,2017
46437737073.0,15103094860.0,31334642213.0,4151992076.0,9305039667.0,13243528581.0,-31146666.0,13212381915,,13212381915,12930270659,19.54,,BAPA,2017
1859219558063.0,1724612952702.0,134606605361.0,6616824710.0,87965516081.0,42496773007.0,-9551170596.0,32945602411,,32945602411,30765092885,93.91,,BAYU,2017
,,,,12305650.0,29158743.0,-5837593.0,23321150,,23321150,24075741,945.0,,BBCA,2017
,,,,37509925956.0,15296826551.0,-4934501093.0,10362325458,,10362325458,8650987833,2.725433545117808,,BBHI,2017
,,,,1294567.0,121819.0,14082.0,135901,,135901,174934,15.0,,BBKP,2017
,,,5665.0,51668.0,88320.0,-21887.0,66433,,66433,54970,40.37,,BBLD,2017
,,,0.0,124858477461.0,353573133007.0,-89332356636.0,264240776371,0.0,264240776371,460865837585,64.61,,BBMD,2017
,,,1038713.0,14428380.0,17165387.0,-3394795.0,13770592,,13770592,15617639,730.0,,BBNI,2017
,,,,13146944.0,37022157.0,-7977823.0,29044334,,29044334,30877015,237.22,,BBRI,2017
23575803.0,25058118.0,-1482315.0,,1595126.0,-37880233.0,-520239.0,-38400472,,-38400472,-38474352,-0.009461,,BBRM,2017
,,,,4192401.0,3861555.0,-834089.0,3027466,,3027466,3056679,286.0,,BBTN,2017
