year,ticker_code,fair_value
2018,RIMO,4183801414934.8267
2018,ERAA,999835907410.9402
2018,INDX,556004316805.8337
2018,MDRN,217409474802.7356
2018,APOL,128039499954.63582
2018,MBTO,112849772195.2446
2018,CSIS,106810500300.70346
2018,KOPI,53235143785.02945
2018,TARA,36565827278.64627
2018,BIMA,9162824076.362944
2018,SIMA,4931944096.670509
2018,FORU,4909500402.098952
2018,JSMR,3309683517.6180515
2018,ZBRA,1428834187.295271
2018,EMTK,1424882411.978467
2018,KOIN,1360303380.519228
2018,VIVA,533616080.2062323
2018,MLPT,291841179.43897593
2018,POLY,80246540.13949044
2018,APEX,45593363.062650174
2018,ENRG,5705971.508712068
2018,KBLV,749262.9588031587
2018,UNSP,172152.91568037216
2018,ASII,-83370.73416093655
2018,INTA,-187667.85667364323
2018,PTRO,-198632.6778680937
2018,MYTX,-266254.16178840864
2018,MPPA,-347606.0713169831
2018,SIPD,-573960.6888075591
2018,TELE,-761685.7682114429
2018,BUDI,-1107960.8898574053
2018,MAPB,-1338650.0696956008
2018,ASGR,-1502322.5964563945
2018,ISSP,-1696482.8921537385
2018,DSNG,-1730688.6140234163
2018,KRAS,-1760611.0392094525
2018,BRPT,-1893228.8880352401
2018,BWPT,-2046193.8915003086
2018,TPIA,-2120983.4516509348
2018,PRDA,-2303927.0102780103
2018,HERO,-2614441.979346549
2018,BNBR,-2673684.275188649
2018,ADRO,-2753396.0552908927
2018,ELSA,-3166866.991774021
2018,MDKI,-3376675.5574269844
2018,MAPI,-3756912.2834453927
2018,AMRT,-3812277.6053153984
2018,TURI,-3869549.4594846126
2018,INKP,-4025314.082481019
2018,AGII,-4061971.385818108
2018,SMSM,-4548933.019108201
2018,KOBX,-4623468.132900376
2018,CTRA,-4930591.5894201435
2018,SMCB,-5392967.188755488
2018,ULTJ,-7518480.6857850775
2018,JPFA,-7783194.132133689
2018,ISAT,-9184914.008111037
2018,SMAR,-9835084.319649128
2018,BMTR,-10852036.744125813
2018,ESTI,-11361992.853839032
2018,SILO,-11916027.277804665
2018,DWGL,-12946599.759084702
2018,BUMI,-12970916.41282162
2018,LINK,-15012754.34370166
2018,EXCL,-15358712.759958211
2018,UNTR,-22129561.457424793
2018,PTBA,-23500287.89376082
2018,ICBP,-23634784.948394053
2018,AALI,-25136786.37361593
2018,PTIS,-25967053.93997492
2018,PKPK,-28135278.952569075
2018,PTSN,-30469683.329423755
2018,GDYR,-38444372.2043196
2018,BBRM,-49936776.70303078
2018,HITS,-64244334.41420415
2018,HMSP,-64330885.05890387
2018,IKBI,-75031262.35577668
2018,MERK,-79146004.10157555
2018,RIGS,-87425000.37314402
2018,GEMS,-93192545.91248275
2018,HEXA,-94827049.2243236
2018,SHIP,-158452391.62047663
2018,TPMA,-183492086.95987633
2018,PSAB,-213445916.37550616
2018,IPOL,-218086388.54490462
2018,HDTX,-232756283.3402164
2018,PTSP,-235612388.52705082
2018,MYOH,-240098992.1077701
2018,DOID,-253054581.48831117
2018,CNKO,-255756549.03615332
2018,ANJT,-326476670.1585596
2018,MDKA,-350157123.3732562
2018,MASA,-351766647.0371274
2018,DSSA,-384228700.4178774
2018,HRUM,-386738127.58443034
2018,PLIN,-391860497.5363047
2018,ESSA,-442616897.6104549
2018,SOCI,-583032866.4059906
2018,SRSN,-595087411.8450859
2018,CSAP,-926064175.5460153
2018,SMRA,-1087934567.3837726
2018,BRNA,-1130095171.7409053
2018,TFCO,-1145829862.590614
2018,AKPI,-1154668812.6008222
2018,SSMS,-1279047854.9564013
2018,BYAN,-1382241483.2848778
2018,IKAI,-1405468659.8145564
2018,KONI,-1791716379.5604992
2018,IPCM,-2614500308.1893177
2018,JIHD,-3014442008.0489283
2018,BIKA,-3223166916.764167
2018,OASA,-3321305133.190195
2018,DART,-3637976812.383411
2018,JSPT,-3859044853.664202
2018,COWL,-3865294936.1475925
2018,TRAM,-3996828803.646245
2018,AKRA,-5209511652.278076
2018,SMBR,-6464849736.937168
2018,PWON,-8922915062.46951
2018,MKNT,-17215378156.31144
2018,MITI,-17226233517.584866
2018,KIOS,-20262737262.59689
2018,ANTM,-27043142192.280285
2018,BMSR,-44845702152.387115
2018,FIRE,-50268280584.73353
2018,ETWA,-57625112945.4057
2018,CMPP,-61747524234.01367
2018,KICI,-63163117071.3549
2018,OCAP,-68296350369.414856
2018,ICON,-71463302999.89462
2018,MRAT,-89687098931.87872
2018,LMPI,-96221336018.74406
2018,JSKY,-99835860393.87302
2018,DPNS,-111215792086.03044
2018,GOLD,-119274643011.04938
2018,ALMI,-122575966007.08655
2018,PYFA,-156420919931.5019
2018,WEHA,-157643877113.47635
2018,AMIN,-161791211199.02072
2018,BELL,-163215007718.27432
2018,BAYU,-164568637720.3367
2018,TRIS,-164754412120.49823
2018,RICY,-170471013017.3059
2018,LMSH,-213267703069.2859
2018,TRIL,-234740829688.57013
2018,LION,-237009245138.0608
2018,MINA,-256655965053.76794
2018,HOME,-270908735390.70538
2018,SKLT,-296986983562.8117
2018,APII,-329655519497.5198
2018,MIRA,-334828278731.30554
2018,UNIT,-365019210708.9243
2018,NRCA,-373193416696.1683
2018,ZINC,-374564179264.59436
2018,RANC,-376471402163.8125
2018,CAMP,-402798536170.6623
2018,KDSI,-403284851235.8904
2018,GPRA,-438015539248.2955
2018,CARS,-486408181778.59814
2018,JAWA,-487480691129.7622
2018,BOGA,-572421407335.4264
2018,PRAS,-584534481923.4064
2018,TGRA,-594841156697.0642
2018,MARK,-627734686396.3152
2018,BKSL,-636112379787.249
2018,RBMS,-656763085575.5471
2018,MFMI,-791700232541.8817
2018,STAR,-853945697548.6222
2018,LRNA,-905633788241.7134
2018,JTPE,-912139126966.6954
2018,MAMI,-918545471713.7628
2018,CITA,-970035445280.5859
2018,IMPC,-1089681066558.2268
2018,KBLM,-1169422946280.71
2018,WIIM,-1246088587697.2148
2018,RDTX,-1480931848700.7788
2018,PSKT,-1523425170013.427
2018,SMDM,-1653320768985.6199
2018,IMAS,-1823872086091.4482
2018,PRIM,-1898268878385.8086
2018,EKAD,-1912919332087.8293
2018,NELY,-1934160604823.488
2018,PPRO,-2040945204359.6035
2018,STTP,-2042908105125.2
2018,MCAS,-2123693743726.6907
2018,SRAJ,-2169986183626.2068
2018,SPMA,-2347736037646.298
2018,WOOD,-2703133792363.347
2018,KIJA,-2708372974367.973
2018,BTEK,-2758833751850.2686
2018,KIAS,-2961341481631.671
2018,KREN,-3630077406219.1006
2018,WSBP,-4986697237804.057
2018,EPMT,-5012205672092.344
2018,DUTI,-5175874272935.007
2018,DNET,-5357252302609.453
2018,PTPP,-5391535600527.256
2018,TSPC,-5611087067391.412
2018,MYOR,-7409733384742.357
2018,DMAS,-7501201005918.764
2018,WSKT,-7627662287020.031
2018,BSDE,-8390999585849.787
2018,KPIG,-9764797579550.146
2018,FREN,-12065333453078.838
2018,MIKA,-12115332465924.766
2018,KLBF,-35914930919112.055
2018,ABBA,
2018,ABDA,
2018,ABMM,
2018,ACES,
2018,ACST,
2018,ADES,
2018,ADHI,
2018,ADMF,
2018,ADMG,
2018,AGRO,
2018,AGRS,
2018,AHAP,
2018,AIMS,
2018,AKSI,
2018,ALDO,
2018,ALKA,
2018,ALTO,
2018,AMAG,
2018,AMFG,
2018,ANDI,
2018,APIC,
2018,APLI,
2018,APLN,
2018,ARGO,
2018,ARII,
2018,ARMY,
2018,ARNA,
2018,ARTA,
2018,ARTO,
2018,ASBI,
2018,ASDM,
2018,ASJT,
2018,ASMI,
2018,ASRI,
2018,ASRM,
2018,ASSA,
2018,ATIC,
2018,ATPK,
2018,AUTO,
2018,BABP,
2018,BACA,
2018,BAJA,
2018,BALI,
2018,BAPA,
2018,BATA,
