cash_and_equivalents,account_receivables_third_party,account_receivables_related_party,total_current_assets,fixed_assets,total_non_current_assets,total_assets,total_current_liabilities,total_non_current_liabilities,total_equity,ticker_code
49082.0,295436.0,321188.0,4500628.0,10219013.0,22356339.0,26856967,3076530.0,4305915.0,19474522,AALI
36153782594.0,62755509296.0,6895187401.0,131054988546.0,34237885534.0,387290287543.0,518345276089,188098007408.0,130258818032.0,199988450649,ABBA
711046435.0,,,,96378948.0,,2890427512,,,1334408933,ABDA
144052684.0,106527452.0,17072536.0,325242490.0,401024694.0,526707306.0,851949796,222796309.0,381325050.0,247828437,ABMM
798522144576.0,26536323604.0,10106302455.0,4096280475383.0,443895142416.0,1224900380158.0,5321180855541,631055459387.0,454654350225.0,4235471045929,ACES
222654.0,260507.0,5449.0,,755129.0,,8936391,,,1426793,ACST
102273.0,131862.0,,364138.0,447249.0,517137.0,881275,262397.0,136964.0,481914,ADES
3263036627238.0,2303101805081.0,1051426340787.0,25429544167566.0,1573323727930.0,4689070602316.0,30118614769882,18964304189855.0,4869038683769.0,6285271896258,ADHI
249599.0,,,,245488.0,,31496441,,,7028199,ADMF
14090912.0,24226311.0,23529.0,124180421.0,147589985.0,156499433.0,280679854,26463482.0,10440410.0,243775962,ADMG
927896.0,367479.0,3415.0,1600294.0,1609701.0,5460461.0,7060755,816443.0,1941620.0,4302692,ADRO
284472.0,345266.0,83822.0,1585943.0,4835210.0,5061812.0,6647755,1297840.0,2202123.0,3147792,AGII
,,,,259140701.0,,23313671252,,,4424285816,AGRO
,,,,20031.0,,4151151,,,532803,AGRS
77344564946.0,,,,18984662006.0,,628464862379,,,263872169783,AHAP
3706467.0,,,17533206467.0,,,17533206467,2587500000.0,609909626.0,14335796841,AIMS
41825284.0,540095307.0,82286.0,1233718090.0,1675087492.0,1836692402.0,3070410492,1215369846.0,621206893.0,1233833753,AKPI
2171083536.0,4404350019.0,264014.0,11268597800.0,4921528198.0,8672252799.0,19940850599,8062727824.0,1951291436.0,9926831339,AKRA
50114289116.0,6964826538.0,30955516180.0,,22651171419.0,,275005973287,,,109805291234,AKSI
12089897847.0,191251667554.0,11888523701.0,373344346111.0,149708894516.0,152784969052.0,526129315163,231453796427.0,23085301266.0,271590217470,ALDO
88950095.0,478422117.0,,622859287.0,20228835.0,26109008.0,648968295,536128557.0,12108255.0,100731483,ALKA
71000352993.0,139974540861.0,43744399859.0,2115994105157.0,650747814729.0,665672268860.0,2781666374017,2144650311300.0,309815366787.0,327200695930,ALMI
3844646054.0,49803021344.0,36445006.0,188531394038.0,883204636248.0,921312128306.0,1109843522344,246962435572.0,475754409227.0,387126677545,ALTO
66521167.0,,,,161222128.0,,4280729979,,,1826304984,AMAG
296628.0,155039.0,244556.0,2208918.0,5940400.0,6223714.0,8432632,1738904.0,3097062.0,3596666,AMFG
5807838811.0,179267707944.0,,292588867203.0,109149417993.0,112133189751.0,404722056954,167420913753.0,30077411946.0,207223731255,AMIN
2070429.0,1966672.0,1972.0,12791052.0,5497240.0,9374916.0,22165968,11126956.0,5021454.0,6017558,AMRT
38432315226.0,5725037500.0,,105764381469.0,156495791829.0,434041068474.0,539805449943,143116971092.0,150571710816.0,246116768035,ANDI
29234164.0,9740872.0,,93472749.0,193309303.0,508732167.0,602204916,56069430.0,159746273.0,386389213,ANJT
4299068085.0,922789874.0,1105746.0,8498442636.0,20128155732.0,24807948171.0,33306390807,5511744144.0,8055415940.0,19739230723,ANTM
12774969.0,16657140.0,,73339888.0,437583074.0,441335610.0,514675498,422218404.0,242724685.0,-150267591,APEX
143099562532.0,619833255766.0,,2521774824521.0,184001251992.0,377923962975.0,2899698787496,705382807853.0,464809325886.0,1729506653757,APIC
9730309728.0,62220382267.0,1126732689.0,266336566823.0,174283415905.0,183966787977.0,450303354800,161275642980.0,13435085290.0,275592626530,APII
60972250077.0,66822259178.0,,201923603048.0,255455817507.0,301253896066.0,503177499114,201327226691.0,97665395766.0,204184876657,APLI
845979035.0,1435849108.0,,8275422732.0,4433790374.0,21308407172.0,29583829904,7838705276.0,9537571149.0,12207553479,APLN
85458951698.0,106482091494.0,43448878522.0,296159247575.0,583845661033.0,600043258828.0,896202506403,6819108508641.0,70340364200.0,-5993246366438,APOL
335559.0,2162879.0,240066.0,13514505.0,68526281.0,74809383.0,88323888,110798541.0,57599885.0,-80074538,ARGO
1550.0,10923.0,,53517.0,81364.0,296548.0,350065,228514.0,111565.0,9986,ARII
106164618448.0,83369980.0,,482408235045.0,2332120288.0,1031261431187.0,1513669666232,162388688404.0,158334330164.0,1192946647664,ARMY
192813271612.0,21962959354.0,480061330487.0,827587984112.0,795547807911.0,825318001618.0,1652905985730,476647908156.0,79661648470.0,1096596429104,ARNA
47412470946.0,6419352708.0,,73149118953.0,265730271470.0,358523685885.0,431672804838,9414766990.0,54497512512.0,367760525336,ARTA
,,,,65904049232.0,,664673471410,,,115559450886,ARTO
23975854.0,,,,123308301.0,,874472888,,,281361909,ASBI
15747368.0,,,,27724518.0,,1061398832,,,322963064,ASDM
273682.0,525814.0,141289.0,1764349.0,407595.0,506995.0,2271344,724854.0,62259.0,1484231,ASGR
25193.0,24176.0,1273.0,133609.0,57733.0,211102.0,344711,116467.0,53881.0,174363,ASII
11675712902.0,,,,86766152494.0,,478439333039,,,219625895775,ASJT
5853410707.0,,,,21609167523.0,,969866560976,,,519594297238,ASMI
459009210.0,202180292.0,9434982.0,1449848156.0,1329283319.0,19441077408.0,20890925564,2224534970.0,9115033486.0,9551357108,ASRI
47582389796.0,,,,59951428986.0,,1478007061719,,,405785338438,ASRM
227575695805.0,216361019529.0,81697800.0,536760828132.0,3411907698638.0,3525775304607.0,4062536132739,1150241108007.0,1773883093606.0,1138411931126,ASSA
601207824774.0,1225850186017.0,40337421292.0,3115072168841.0,533769489762.0,845906514806.0,3960978683647,2227303210086.0,851327901006.0,882347572555,ATIC
475225.0,,,54790180.0,726550855.0,830715929.0,885506109,217136762.0,397907100.0,270462247,ATPK
889615.0,1242764.0,687354.0,6013683.0,3498912.0,9875965.0,15889648,4066699.0,559314.0,11263635,AUTO
,,,,48137.0,,10854855,,,1429990,BABP
,,,,552926.0,,18019614,,,1484963,BACA
10311045741.0,156653691161.0,35842419220.0,692169207950.0,196210656527.0,209012588320.0,901181796270,811365493384.0,13294954273.0,76521348613,BAJA
18363043002.0,126043516643.0,,299165402551.0,2951938419996.0,3138487938710.0,3437653341261,516318541594.0,1227465633677.0,1693869165990,BALI
1278751135.0,0.0,0.0,111158452972.0,1277381264.0,61154984757.0,172313437729,42887324516.0,1535807977.0,127890305236,BAPA
4688596.0,29834451.0,2864543.0,569545551.0,240000026.0,307310674.0,876856225,194538478.0,45510388.0,636807359,BATA
331470159496.0,202405044161.0,,589070577504.0,54136417286.0,211848334966.0,800918912470,321512090248.0,31549312705.0,447857509517,BAYU
,,,,19336901.0,,824787944,,,151753427,BBCA
,,,,34368921423.0,,2264172563517,,,336482136901,BBHI
,,,,3075041.0,,95643923,,,8594286,BBKP
189751.0,,,,102764.0,,5019046,,,1177056,BBLD
,,,,470415776572.0,,12093079368934,,,3088013085461,BBMD
,,,,26126508.0,,808572011,,,110373789,BBNI
3610243.0,3148751.0,147.0,7318059.0,78329880.0,78375523.0,85693582,8851742.0,54126603.0,22715237,BBRM
,,,,5017694.0,,306436194,,,23840448,BBTN
,,,,83206069558.0,,4533729146622,,,600385324944,BBYB
1925704.0,,,,262714.0,,18762724,,,5747328,BCAP
,,,,194079.0,,17823669,,,1314903,BCIC
,,,,1902608.0,,186762189,,,41939821,BDMN
3073876726.0,96152809202.0,,207472483678.0,350590386821.0,357224543757.0,564697027435,181732710507.0,153277215149.0,229687101779,BEEF
,,,,77068.0,,9482130,,,693398,BEKS
45295623558.0,110450405380.0,5357742488.0,342554523490.0,161719483406.0,172407648283.0,514962171773,218191271919.0,36572810012.0,260198089842,BELL
1128567996205.0,47767903822.0,15997757360.0,2755020904347.0,180889635342.0,3535105647044.0,6290126551391,355040758137.0,1763091548663.0,4171994244591,BEST
755247.0,,,,530145.0,,19117305,,,6203796,BFIN
,,,,58743.0,,4497122,,,1126199,BGTG
2272911.0,3091785.0,45273.0,19035641.0,14211194.0,37386332.0,56421973,17171841.0,14753368.0,24496764,BHIT
122507646809.0,7637989841.0,,1860337087272.0,170131803263.0,473299698567.0,2333636785839,579451267667.0,1095470585204.0,658714932968,BIKA
5685080346.0,11240108092.0,,80207862904.0,11850236113.0,17982777935.0,98190640839,84043258686.0,94995026074.0,-80847643921,BIMA
,,,,18741.0,,3854174,,,1208052,BINA
8665292.0,4967281.0,,282388791.0,98622567.0,950571783.0,1232960574,483188439.0,367933190.0,381838945,BIPI
118645441424.0,6781479344.0,2018535000.0,853073361939.0,151719638798.0,1210173920963.0,2063247282902,537705678421.0,394312443455.0,1131229161026,BIPP
575900.0,193533.0,6274.0,1071773.0,5724503.0,5883384.0,6955157,614987.0,1075009.0,5265161,BIRD
94489.0,915384.0,12117.0,2168084.0,498764.0,596926.0,2765010,395388.0,59692.0,2309930,BISI
,,,,3271751.0,,120191387,,,11285315,BJBR
,,,,972057.0,,62689118,,,8471936,BJTM
4795303625.0,2851773528.0,369977149.0,51706653889.0,9575720550.0,711830786391.0,763537440280,156226946297.0,143922568233.0,463387925750,BKDP
250874910041.0,998298378749.0,151124800000.0,4547349270546.0,215846370468.0,11705382913661.0,16252732184207,3093284238071.0,2538322376922.0,10621125569214,BKSL
,,,,119656.0,,20486926,,,4672060,BKSW
3174557.0,2195704.0,0.0,7910239.0,25944717.0,63438294.0,71348533,12833718.0,29546979.0,28967836,BLTA
41647572.0,148741113.0,,,1341510315.0,,1762007688,,,1160437835,BLTZ
,,,,439337143.0,,6694023677,,,1200740595,BMAS
,,,,38442696.0,,1202252094,,,184960305,BMRI
