operating_cash_flow,investing_cash_flow,fixed_asset_expenditure,financing_cash_flow,cash_and_equivalents_beginning,fx_rate_effect_on_cash,cash_and_equivalents_changes,cash_and_equivalents_ending,ticker_code,year
2841822,1038890.0,-1753504.0,-1361618.0,531583,4009.0,,262292,AALI,2017
-13438624706,4826500114.0,-3658748600.0,22989422193.0,41669924510,,,47561973397,ABBA,2017
63962220,2907953.0,-365116072.0,-55872601.0,862527281,,,505500828,ABDA,2017
150847745,51606653.0,-42125570.0,-49538326.0,81713191,-206548.0,,140690492,ABMM,2017
690355938041,152617867788.0,-187331134628.0,-302259178983.0,703935050166,-2472700710.0,,902227973886,ACES,2017
-1128265,175407.0,-230799.0,1435434.0,139215,-466.0,,215119,ACST,2017
87199,96953.0,-96935.0,-73.0,35316,,,25507,ADES,2017
-3226995448375,166382523972.0,-85924562921.0,4079183303453.0,3364910489288,,,4131173781445,ADHI,2017
1006285,47561.0,-91718.0,366203.0,940948,,,2221718,ADMF,2017
16913184,1378056.0,-1369643.0,-8240000.0,20157821,-26407.0,,27434955,ADMG,2017
853680,155352.0,-433383.0,-288661.0,1076948,-1736.0,,1206848,ADRO,2017
213726,296143.0,-299130.0,39374.0,390381,,,344351,AGII,2017
-782655120,,-731517131.0,1491894028.0,2288915736,,,2266637512,AGRO,2017
16756,,-7305.0,,590959,,,600410,AGRS,2017
-51003271222,234889606.0,16943550913.0,49181284217.0,53975505471,,,69097069379,AHAP,2017
-11666507586,,,,11709646124,,,43138538,AIMS,2017
267102,658512.0,-448850.0,67282.0,295926,153.0,,181613,AISA,2017
145628143,44412135.0,-41596147.0,-158923209.0,99933371,361175.0,,45403333,AKPI,2017
682224585,632450718.0,833453209.0,-1111421217.0,1366943494,17660876.0,-17631935.0,1771229012,AKRA,2017
10193980084,,14368856222.0,741170943.0,7052969,,,25311060218,AKSI,2017
12706380594,48100252357.0,-47209615993.0,34589987766.0,9022509790,6099482.0,,9115361639,ALDO,2017
-3678215,557353.0,3827762.0,9937099.0,10535932,34217.0,90136.0,20746931,ALKA,2017
-373368308766,9648708106.0,132299999549.0,258048210236.0,46166334726,-11337953642.0,,51808282103,ALMI,2017
5602423448,37440238461.0,-36385062113.0,31010075767.0,5320071620,,,5547508722,ALTO,2017
71805602,-8970458.0,30988600.0,-40045731.0,175165913,1442201.0,,239356585,AMAG,2017
299081,1017648.0,-1017775.0,742946.0,320827,1116.0,,346195,AMFG,2017
-644338529,52038357064.0,-52126110440.0,45768630029.0,486852308,-523939866.0,13773046530.0,6734140032,AMIN,2017
3322625,1574150.0,-3625051.0,298713.0,936614,,,932901,AMRT,2017
13801144,11930189.0,21886230.0,-6147988.0,16882293,,-16738.0,46404941,ANJT,2017
1379176412,2321508104.0,-2890561357.0,-568358413.0,7623385438,7034940.0,,5550677020,ANTM,2017
3706954,16031824.0,-16068367.0,-15824311.0,38215464,,,10029740,APEX,2017
-131698134504,3311358523.0,121786946478.0,9095160195.0,142414980760,,,141598952929,APIC,2017
8238805310,6992509055.0,-6992509055.0,-5049652113.0,8770386339,,,4967030481,APII,2017
10904672310,5557059335.0,-13037800815.0,5445489160.0,2304391121,17498431.0,,5634250207,APLI,2017
-738623663,496696064.0,-573360454.0,2433195369.0,1172966926,2869041.0,0.0,2297047219,APLN,2017
117055685523,23196487940.0,16346931699.0,-75946553207.0,72820598234,-40794828437.0,,89481833812,APOL,2017
-377344,76776.0,1093938.0,-3315831.0,3397272,-5821.0,,792214,ARGO,2017
-630,3866.0,-4170.0,7154.0,2108,,,4462,ARII,2017
-41282247622,632566113.0,-319519144224.0,331047192650.0,171184665874,,,141430466678,ARMY,2017
245599197741,70639937058.0,-73199748318.0,-116033877723.0,3165484220,,,59531055920,ARNA,2017
27859196515,4623408459.0,-10100730529.0,,44791759059,-1210114.0,,62549014931,ARTA,2017
11178200,6987144.0,-5956894.0,-5192366.0,20921179,849505.0,,21799624,ASBI,2017
-30764958,10219671.0,28866964.0,-13248000.0,28178174,769546.0,,13801726,ASDM,2017
533399,13373.0,-22614.0,-112558.0,277798,562.0,,676587,ASGR,2017
23285,9017.0,-14941.0,-6184.0,29356,58.0,,31574,ASII,2017
-19184706188,927497673.0,29213857838.0,-7110377380.0,11600901880,,,14519676150,ASJT,2017
-36769521577,376399202.0,-89321777930.0,124194618720.0,4959849789,,,3063169002,ASMI,2017
1825950802,91082250.0,-1482370545.0,-815944425.0,1189458923,991689.0,,718086444,ASRI,2017
17543178015,3379122126.0,11894445412.0,-14260164024.0,42596023134,1061101779.0,,58834584316,ASRM,2017
178440487755,115072839503.0,-110620319300.0,-23199887007.0,40289931246,-7167118.0,,84903045576,ASSA,2017
-215548781200,38525590847.0,-39287179688.0,285117921668.0,303816233713,-2566219233.0,-228783898.0,331303191362,ATIC,2017
46091363,596700.0,-596700.0,-44985613.0,382800,,,891850,ATPK,2017
394229,330826.0,-28285.0,-589870.0,914635,-10793.0,,679916,AUTO,2017
-1992694,,376738.0,68002.0,3037683,9778.0,,1499507,BABP,2017
1060492,,-38074.0,242982.0,3417485,,,4682885,BACA,2017
52474094986,11808519603.0,-15455346299.0,-28787269720.0,3867121504,1705075.0,,12100305546,BAJA,2017
212998014449,387800014440.0,-491875833528.0,312373291526.0,5967149474,2678000.0,,39465299921,BALI,2017
12883806609,-45778524.0,45778524.0,-13636932313.0,3600527491,,,2893180312,BAPA,2017
31654863615,9817596737.0,-3038726119.0,,271255557498,801586216.0,,300673281210,BAYU,2017
