company_name,ticker_code,industry,sector,subsector,controlling_shareholder_info,entity_type,period,currency,fx_rate,rounding,auditor_opinion,auditor_name
Astra Agro Lestari Tbk,AALI,Umum / General,1. Agriculture,12. Plantation,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Jutaan / In Million,Wajar Tanpa Pengecualian / Unqualified,"Tanudiredja, Wibisana, Rintis & Rekan"
Mahaka Media Tbk,ABBA,Umum / General,"9. Trade, Services & Investment","95. Advertising, Printing And Media",Individual WNI,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,Aria & Jonnardi
Asuransi Bina Dana Arta Tbk,ABDA,Asuransi / Insurance,8. Finance,84. Insurance,Foreign Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Ribuan / In Thousand,Wajar Tanpa Pengecualian / Unqualified,"Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan"
ABM Investama Tbk,ABMM,Umum / General,"9. Trade, Services & Investment",98. Investment Company,Foreign Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"Purwantono, Suherman & Surja"
Ace Hardware Indonesia Tbk,ACES,Umum / General,"9. Trade, Services & Investment",93. Retail Trade,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"Aryanto, Amir Jusuf, Mawar & Saptoto"
PT Acset Indonusa Tbk.,ACST,Umum / General,"6. Property, Real Estate And Building Construction",62. Building Construction,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Jutaan / In Million,Wajar Tanpa Pengecualian / Unqualified,"Tanudiredja, Wibisana & Rekan"
Akasha Wira International Tbk  Tbk,ADES,Umum / General,5. Consumer Goods Industry,51. Food And Beverages,Foreign Corporation,Foreign Company,Tahunan / Annual,Rupiah / IDR,,Jutaan / In Million,Wajar Tanpa Pengecualian / Unqualified,Tanubrata Sutanto Fahmi dan Rekan
PT Adhi Karya (Persero) Tbk.,ADHI,Properti / Property,"6. Property, Real Estate And Building Construction",62. Building Construction,Indonesian Government,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"Amir Abadi Jusuf, Aryanto, Mawar & Rekan, Firma anggota dari jaringan global RSM"
Adira Dinamika Multi Finance Tbk,ADMF,Pembiayaan / Financing,8. Finance,82. Financial Institution,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Jutaan / In Million,Wajar Tanpa Pengecualian / Unqualified,"Tanudiredja, Wibisana, Rintis & Rekan"
Polychem Indonesia Tbk,ADMG,Umum / General,3. Basic Industry And Chemicals,34. Chemicals,National and Foreign Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,Osman Bing Satrio & Eny
ADARO ENERGY Tbk,ADRO,Umum / General,2. Mining,21. Coal Mining,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Dollar Amerika / USD,,Ribuan / In Thousand,Wajar Tanpa Pengecualian / Unqualified,"Tanudiredja, Wibisana, Rintis & Rekan"
PT Aneka Gas Industri Tbk.,AGII,Umum / General,3. Basic Industry And Chemicals,34. Chemicals,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Jutaan / In Million,Wajar Tanpa Pengecualian / Unqualified,"Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan"
PT Bank Rakyat Indonesia Agroniaga Tbk,AGRO,Keuangan dan Syariah / Financial and Sharia,8. Finance,81. Bank,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Ribuan / In Thousand,Wajar Tanpa Pengecualian / Unqualified,"Purwantono, Suherman & Surja"
PT Bank Agris Tbk,AGRS,Keuangan dan Syariah / Financial and Sharia,8. Finance,81. Bank,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Jutaan / In Million,Wajar Tanpa Pengecualian / Unqualified,Gani Sigiro & Handayani
Asuransi Harta Aman Pratama Tbk,AHAP,Asuransi / Insurance,8. Finance,84. Insurance,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,14481.0,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"Doli, Bambang, Sulistiyanto, Dadang & Ali"
Akbar Indomakmur Stimec Tbk,AIMS,Umum / General,"9. Trade, Services & Investment",91. Wholesale (Durable & Non-Durable Goods),National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,Abdul Ghonie Abubakar
Argha Karya Prima Ind. Tbk,AKPI,Umum / General,3. Basic Industry And Chemicals,35. Plastics & Packaging,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Ribuan / In Thousand,Wajar Tanpa Pengecualian / Unqualified,"Purwantono, Sungkoro & Surja"
PT AKR Corporindo Tbk.,AKRA,Umum / General,"9. Trade, Services & Investment",91. Wholesale (Durable & Non-Durable Goods),National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Ribuan / In Thousand,Wajar Tanpa Pengecualian / Unqualified,"Purwantono, Sungkoro & Surja"
PT Majapahit Inti Corpora Tbk.,AKSI,Umum / General,"7. Infrastructure, Utilities And Transportation",74. Transportation,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"Doli, Bambang, Sulistiyanto, Dadang & Ali"
Alkindo Naratama Tbk,ALDO,Umum / General,3. Basic Industry And Chemicals,38. Pulp & Paper,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,14481.0,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,Hendrik &.Rekan
Alakasa Industrindo Tbk,ALKA,Umum / General,3. Basic Industry And Chemicals,33. Metal And Allied Products,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Ribuan / In Thousand,Wajar Tanpa Pengecualian / Unqualified,KAP Anwar & Rekan
Alumindo Light Metal Industry Tbk,ALMI,Umum / General,3. Basic Industry And Chemicals,33. Metal And Allied Products,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"Paul Hadiwinata, Hidajat, Arsono, Retno, Palilingan & Rekan"
Tri Banyan Tirta Tbk,ALTO,Umum / General,5. Consumer Goods Industry,51. Food And Beverages,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,Heliantono & Rekan
Asuransi Multi Artha Guna Tbk,AMAG,Asuransi / Insurance,8. Finance,84. Insurance,Foreign Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Ribuan / In Thousand,Wajar Tanpa Pengecualian / Unqualified,Satrio Bing Eny & Rekan
Asahimas Flat Glass Tbk,AMFG,Umum / General,3. Basic Industry And Chemicals,"32. Ceramics, Glass, Porcelain",National and Foreign Corporation,Joint Venture - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Jutaan / In Million,Wajar Tanpa Pengecualian / Unqualified,Siddharta Widjaja & Rekan
PT Ateliers Mecaniques D Indonesie Tbk.,AMIN,Infrastruktur / Infrastructure,4. Miscellaneous Industry,41. Machinery And Heavy Equipment,"Individual Foreign, Non-Residential",Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,Rama Wendra
PT Sumber Alfaria Trijaya Tbk.,AMRT,Umum / General,"9. Trade, Services & Investment",93. Retail Trade,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Jutaan / In Million,Wajar Tanpa Pengecualian / Unqualified,"Purwantono, Sungkoro dan Surja"
PT Andira Agro Tbk,ANDI,Umum / General,1. Agriculture,12. Plantation,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,KAP Herman Dody Tanumihardja & Rekan
PT Austindo Nusantara Jaya Tbk.,ANJT,Umum / General,1. Agriculture,12. Plantation,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Dollar Amerika / USD,14481.0,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,Siddharta Widjaja & Rekan
Aneka Tambang Tbk.,ANTM,Umum / General,2. Mining,23. Metal And Mineral Mining,Indonesian Government,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Ribuan / In Thousand,Wajar Tanpa Pengecualian / Unqualified,"Tanudiredja, Wibisana, Rintis & Rekan"
Apexindo Pratama Duta Tbk,APEX,Umum / General,2. Mining,22. Crude Petroleum & Natural Gas Production,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Dollar Amerika / USD,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,Osman Bing Satrio dan Rekan
PACIFIC STRATEGIC FINANCIAL Tbk,APIC,Umum / General,8. Finance,89. Others - Finance,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"Andi. Drs, Arifin & Rekan"
PT Arita Prima Indonesia Tbk.,APII,Umum / General,"9. Trade, Services & Investment",91. Wholesale (Durable & Non-Durable Goods),Foreign Corporation,Foreign Company,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"TERAMIHARDJA, PRADHONO & CHANDRA"
Asiaplast Industries Tbk,APLI,Umum / General,3. Basic Industry And Chemicals,35. Plastics & Packaging,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"Purwantono, Suherman & Surja"
PT Agung Podomoro Land Tbk.,APLN,Properti / Property,"6. Property, Real Estate And Building Construction",61. Property And Real Estate,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Ribuan / In Thousand,Wajar Tanpa Pengecualian / Unqualified,Tanubrata Sutanto Fahmi Bambang & Rekan
Arpeni Pratama Ocean Line Tbk,APOL,Umum / General,"7. Infrastructure, Utilities And Transportation",74. Transportation,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Dengan Pengecualian / Qualified,"Kosasih, Nurdiyaman, Tjahjo & Rekan"
Argo Pantes Tbk,ARGO,Umum / General,4. Miscellaneous Industry,"43. Textile, Garment",National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Dollar Amerika / USD,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,Anwar & Rekan
Atlas Resources Tbk,ARII,Umum / General,2. Mining,21. Coal Mining,National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Dollar Amerika / USD,14481.0,Ribuan / In Thousand,Wajar Tanpa Pengecualian / Unqualified,Mirawati Sensi Idris
PT Armidian Karyatama Tbk,ARMY,Umum / General,"6. Property, Real Estate And Building Construction",61. Property And Real Estate,Individual WNI,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,14481.0,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,Mirawati Sensi Idris
Arwana Citramulia Tbk,ARNA,Umum / General,3. Basic Industry And Chemicals,"32. Ceramics, Glass, Porcelain",National Corporation,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"Purwantono, Sungkoro & Surja"
Arthavest Tbk,ARTA,Umum / General,"9. Trade, Services & Investment","94. Tourism, Restaurant And  Hotel",Individual WNI,Local Company - Indonesia Jurisdiction,Tahunan / Annual,Rupiah / IDR,14481.0,Satuan Penuh / Full Amount,Wajar Tanpa Pengecualian / Unqualified,"Teramihardja, Pradhono & Chandra"
