revenues,cost_of_goods_sold,gross_income,sales_expenses,sales_and_admin_expenses,pretax_income,tax_expenses,after_tax_income_operational,after_tax_income_nonoperational,after_tax_income,comprehensive_income,income_per_share,ticker_code
19084387.0,15544881.0,3539506.0,427554.0,786046.0,2207080.0,-686357.0,1520723,,1520723,1672016,747.4,AALI
212841846116.0,118882152766.0,93959693350.0,7566177324.0,124049656792.0,-41327659821.0,5155170502.0,-36172489319,,-36172489319,83219565057,-7.12,ABBA
,,,,400938093.0,50829464.0,18280929.0,69110393,,69110393,14893882,111.0,ABDA
773057131.0,598842999.0,174214132.0,10328550.0,54947758.0,93625688.0,-26398030.0,67227658,,67227658,68252897,0.023788106,ABMM
7239754268263.0,3796596070656.0,3443158197607.0,1683528748836.0,687209857885.0,1202709103365.0,-226435746768.0,976273356597,,976273356597,1044485235597,56.49,ACES
3725296.0,,,,,24226.0,-2807.0,21419,,21419,8101,26.0,ACST
804302.0,415212.0,389090.0,226946.0,78475.0,70060.0,-17102.0,52958,,52958,58903,90.0,ADES
15655499866493.0,13148896372495.0,2506603493998.0,33801207467.0,673871108990.0,1167776985023.0,-522747535918.0,645029449105,,645029449105,513257957916,180.9,ADHI
,,,0.0,1302366.0,2484569.0,-669306.0,1815263,,1815263,1987284,1815.0,ADMF
356636089.0,342042822.0,14593267.0,1504757.0,6978741.0,-1395757.0,824307.0,-571450,-733131.0,-1304581,3535093,-0.0003,ADMG
3619751.0,2409544.0,1210207.0,45559.0,148439.0,820998.0,-343457.0,477541,,477541,468611,0.01,ADRO
2073258.0,1133400.0,939858.0,300624.0,252623.0,147639.0,-33265.0,114374,,114374,118462,33.0,AGII
,,,,91898174.0,292509384.0,-88296761.0,204212623,,204212623,142660203,10.5,AGRO
,,,,54182.0,-29860.0,-1262.0,-31122,,-31122,-31351,-5.92,AGRS
,,,,79778053280.0,-26701087916.0,-24910000.0,-26725997916,,-26725997916,-24686105695,-9.09,AHAP
0.0,0.0,0.0,0.0,621329322.0,-637109576.0,,-637109576,,-637109576,-637109576,-2.9,AIMS
2387420036.0,2165024862.0,222395174.0,58364418.0,53570451.0,91686890.0,-27460619.0,64226271,,64226271,107221262,105.0,AKPI
23548144117.0,21993577867.0,1554566250.0,570157918.0,68959945.0,868080622.0,-204739828.0,663340794,933312027.0,1596652821,1613027778,178.85,AKRA
319106290160.0,,,,,35781546542.0,-9299207509.0,26482339033,,26482339033,26845098768,37.28,AKSI
789643654873.0,638294546423.0,151349108450.0,28705088036.0,49449372624.0,57208486144.0,-14702210621.0,42506275523,,42506275523,43047394294,44.09,ALDO
3592798235.0,3532801547.0,59996688.0,,32698467.0,22922823.0,20675.0,22943498,,22943498,21603100,45.21,ALKA
